feature,real_mean,real_std,original_mean,original_std,original_effect_size,calibrated_mean,calibrated_std,calibrated_effect_size,reduction_in_effect_size
amplitude_mean,0.0078125,4.3314007935890686e-10,0.7321259379386902,0.7756045460700989,1.3206909251169614,0.02468733675777912,0.0261534396559,0.9124850126492221,0.4082059124677393
amplitude_variance,1.2323934242886025e-05,9.500184205535334e-06,0.3155381977558136,0.5298172831535339,0.8422167093517954,0.0003587805258575827,0.0006024250760674477,0.8132157293330278,0.029000980018767608
amplitude_kurtosis,0.008039020001888275,0.8855106830596924,-0.38839563727378845,0.8585118055343628,-0.4545665713521741,-0.38839563727378845,0.8585118055343628,-0.4545665713521741,0.0
amplitude_peak_to_average_ratio,3.936821937561035,1.8215162754058838,5.160287380218506,1.1742753982543945,0.7983689258146598,5.160287380218506,1.1742753982543945,0.7983689258146598,0.0
phase_variance,3.1422324180603027,0.5714932680130005,3.2907464504241943,0.5221342444419861,0.27132272814242037,3.2907464504241943,0.5221342444419861,0.27132272814242037,0.0
phase_difference_mean,0.04062663018703461,0.11842270940542221,0.0010451964335516095,0.1313122659921646,-0.3165661362963697,0.0010451965499669313,0.1313122659921646,-0.3165661353652981,9.31071608700762e-10
phase_difference_variance,1.342472791671753,1.3540736436843872,2.240884780883789,0.793713390827179,0.8094957485467861,2.240884780883789,0.793713390827179,0.8094957485467861,0.0
phase_difference_kurtosis,5.776984214782715,8.62503433227539,-0.18261577188968658,0.9635050296783447,-0.9711319074269334,-0.18261577188968658,0.9635050296783447,-0.9711319074269334,0.0
phase_hist_bin_0,0.11808124929666519,0.06610894948244095,0.1333281248807907,0.04631280153989792,0.267134314189871,0.1333281248807907,0.04631280153989792,0.267134314189871,0.0
phase_hist_bin_1,0.12161249667406082,0.06915823370218277,0.1184031218290329,0.04401550814509392,-0.05536604322193321,0.1184031218290329,0.04401550814509392,-0.05536604322193321,0.0
