impairment,sweep_value,original_macro_f1,calibrated_macro_f1,delta_macro_f1
frequency_offset,18.0,0.12185144057861683,0.1668344158138,0.04498297523518319
phase_offset,18.0,0.1369199540302521,0.19653671966876646,0.05961676563851437
iq_amplitude_imbalance,18.0,0.14110494768361362,0.1961051749629163,0.05500022727930268
iq_phase_imbalance,18.0,0.1328094229012582,0.205753707207045,0.07294428430578681
dc_offset,18.0,0.09130557424957703,0.20195123450972843,0.11064566026015141
timing_offset,18.0,0.1439717187487737,0.21376898232585045,0.06979726357707675
