class,feature,real_mean,synthetic_mean,difference
BPSK,amplitude_mean,0.0078125,0.7342447638511658,0.7264322638511658
BPSK,amplitude_variance,1.3673063222086057e-05,0.31879863142967224,0.31878495836645016
BPSK,amplitude_kurtosis,-0.10836416482925415,-0.40952277183532715,-0.301158607006073
BPSK,amplitude_peak_to_average_ratio,4.003645420074463,5.114010334014893,1.1103649139404297
BPSK,phase_variance,2.936387777328491,3.6199162006378174,0.6835284233093262
BPSK,phase_difference_mean,0.09262114018201828,0.006452803034335375,-0.0861683371476829
BPSK,phase_difference_variance,1.5015747547149658,2.288142204284668,0.7865674495697021
BPSK,phase_difference_kurtosis,3.154555082321167,-0.231643944978714,-3.386199027299881
BPSK,phase_hist_bin_0,0.0936874970793724,0.16353124380111694,0.06984374672174454
BPSK,phase_hist_bin_1,0.10446874797344208,0.08759374916553497,-0.016874998807907104
BPSK,phase_hist_bin_2,0.17726562917232513,0.08701562136411667,-0.09025000780820847
BPSK,phase_hist_bin_3,0.12306249886751175,0.16309374570846558,0.04003124684095383
BPSK,phase_hist_bin_4,0.09392187744379044,0.162109375,0.06818749755620956
BPSK,phase_hist_bin_5,0.10798437148332596,0.08801562339067459,-0.019968748092651367
BPSK,phase_hist_bin_6,0.1743749976158142,0.08565624803304672,-0.08871874958276749
BPSK,phase_hist_bin_7,0.12523438036441803,0.16298437118530273,0.037749990820884705
BPSK,instantaneous_frequency_mean,0.09262114018201828,0.006452803034335375,-0.0861683371476829
BPSK,instantaneous_frequency_variance,1.5015747547149658,2.288142204284668,0.7865674495697021
BPSK,c40_real,0.05368673801422119,-0.18016670644283295,-0.23385344445705414
BPSK,c40_imag,-0.1508006751537323,-0.016596268862485886,0.13420440629124641
BPSK,c40_magnitude,0.9677630662918091,0.3543015122413635,-0.6134615540504456
BPSK,autocorr_lag_1_real,0.5554895997047424,0.4917465150356293,-0.06374308466911316
BPSK,autocorr_lag_1_imag,0.02142116241157055,0.001618703012354672,-0.019802459399215877
BPSK,autocorr_lag_1_magnitude,0.5764284729957581,0.510757565498352,-0.065670907497406
BPSK,autocorr_lag_2_real,0.4933980405330658,0.45338618755340576,-0.040011852979660034
BPSK,autocorr_lag_2_imag,0.040893685072660446,-0.0014716737205162644,-0.04236535879317671
BPSK,autocorr_lag_2_magnitude,0.5229402780532837,0.4735904633998871,-0.049349814653396606
BPSK,autocorr_lag_4_real,0.337253212928772,0.32111379504203796,-0.01613941788673401
BPSK,autocorr_lag_4_imag,0.06987656652927399,-0.0027211615815758705,-0.07259772811084986
BPSK,autocorr_lag_4_magnitude,0.3760052025318146,0.3469385802745819,-0.029066622257232666
BPSK,autocorr_lag_8_real,-0.007745969574898481,0.0015946121420711279,0.00934058171696961
BPSK,autocorr_lag_8_imag,0.04938700795173645,-0.0006256378837861121,-0.05001264583552256
BPSK,autocorr_lag_8_magnitude,0.15946786105632782,0.174749493598938,0.015281632542610168
BPSK,autocorr_lag_16_real,-0.0038443950470536947,-0.012171843089163303,-0.008327448042109609
BPSK,autocorr_lag_16_imag,-0.01698773354291916,0.00045789277646690607,0.017445626319386065
BPSK,autocorr_lag_16_magnitude,0.15019285678863525,0.17286507785320282,0.022672221064567566
QPSK,amplitude_mean,0.0078125,0.7354645729064941,0.7276520729064941
QPSK,amplitude_variance,1.0896390449488536e-05,0.31642207503318787,0.3164111786427384
QPSK,amplitude_kurtosis,0.46017181873321533,-0.51158607006073,-0.9717578887939453
QPSK,amplitude_peak_to_average_ratio,3.8482155799865723,4.893772125244141,1.0455565452575684
QPSK,phase_variance,3.182222843170166,3.2166748046875,0.034451961517333984
QPSK,phase_difference_mean,0.03239348158240318,0.0010277123656123877,-0.031365769216790795
QPSK,phase_difference_variance,1.43902587890625,2.2252566814422607,0.7862308025360107
QPSK,phase_difference_kurtosis,6.262354850769043,-0.161163330078125,-6.423518180847168
QPSK,phase_hist_bin_0,0.12118750065565109,0.12690624594688416,0.005718745291233063
QPSK,phase_hist_bin_1,0.12728124856948853,0.12737500667572021,9.375810623168945e-05
QPSK,phase_hist_bin_2,0.12059374898672104,0.12404687702655792,0.0034531280398368835
QPSK,phase_hist_bin_3,0.1295468807220459,0.1217968761920929,-0.007750004529953003
QPSK,phase_hist_bin_4,0.11564062535762787,0.1242968738079071,0.008656248450279236
QPSK,phase_hist_bin_5,0.1320781260728836,0.12285937368869781,-0.009218752384185791
QPSK,phase_hist_bin_6,0.1203906238079071,0.12603124976158142,0.005640625953674316
QPSK,phase_hist_bin_7,0.13328124582767487,0.12668749690055847,-0.006593748927116394
QPSK,instantaneous_frequency_mean,0.03239348158240318,0.0010277123656123877,-0.031365769216790795
QPSK,instantaneous_frequency_variance,1.43902587890625,2.2252566814422607,0.7862308025360107
QPSK,c40_real,-0.05580170080065727,-0.5494486093521118,-0.49364690855145454
QPSK,c40_imag,-0.06668151915073395,0.025065887719392776,0.09174740687012672
QPSK,c40_magnitude,0.5079743266105652,0.7324150204658508,0.22444069385528564
QPSK,autocorr_lag_1_real,0.554965078830719,0.48818081617355347,-0.06678426265716553
QPSK,autocorr_lag_1_imag,0.02201838791370392,0.0021438621915876865,-0.019874525722116232
QPSK,autocorr_lag_1_magnitude,0.5744053721427917,0.5093885660171509,-0.06501680612564087
QPSK,autocorr_lag_2_real,0.49619555473327637,0.4533594250679016,-0.042836129665374756
QPSK,autocorr_lag_2_imag,0.04021324962377548,0.006654565222561359,-0.03355868440121412
QPSK,autocorr_lag_2_magnitude,0.5282837152481079,0.47553756833076477,-0.05274614691734314
QPSK,autocorr_lag_4_real,0.34279581904411316,0.31599000096321106,-0.0268058180809021
QPSK,autocorr_lag_4_imag,0.06585338711738586,0.009962455369532108,-0.055890931747853756
QPSK,autocorr_lag_4_magnitude,0.38868603110313416,0.35328009724617004,-0.03540593385696411
QPSK,autocorr_lag_8_real,0.006535067223012447,-0.003341925796121359,-0.009876993019133806
QPSK,autocorr_lag_8_imag,0.04334719851613045,0.013690446503460407,-0.02965675201267004
QPSK,autocorr_lag_8_magnitude,0.16016076505184174,0.18953953683376312,0.029378771781921387
QPSK,autocorr_lag_16_real,0.005969988647848368,0.002289795782417059,-0.0036801928654313087
QPSK,autocorr_lag_16_imag,-0.012457401491701603,0.001068822224624455,0.013526223716326058
QPSK,autocorr_lag_16_magnitude,0.16077323257923126,0.18304607272148132,0.02227284014225006
8PSK,amplitude_mean,0.0078125,0.7375710010528564,0.7297585010528564
8PSK,amplitude_variance,1.0738921446318273e-05,0.31828153133392334,0.318270792412477
8PSK,amplitude_kurtosis,0.3025675117969513,-0.538917601108551,-0.8414851129055023
8PSK,amplitude_peak_to_average_ratio,3.8433632850646973,4.831875324249268,0.9885120391845703
8PSK,phase_variance,3.221470355987549,3.209482431411743,-0.011987924575805664
8PSK,phase_difference_mean,0.016240591183304787,-0.003915094770491123,-0.02015568595379591
8PSK,phase_difference_variance,1.49833083152771,2.1978628635406494,0.6995320320129395
8PSK,phase_difference_kurtosis,5.2520928382873535,-0.13261431455612183,-5.384707152843475
