feature,real_mean,synthetic_mean,real_std,synthetic_std,mean_difference,relative_difference,effect_size
amplitude_mean,0.0078125,0.7321259379386902,4.3314007935890686e-10,0.7756045460700989,0.7243134379386902,92.7121081890025,1.3206909251169614
phase_difference_kurtosis,5.776984214782715,-0.18261577188968658,8.62503433227539,0.9635050296783447,-5.959599986672401,-1.0316109174040635,-0.9711319074269334
amplitude_variance,1.2323934242886025e-05,0.3155381977558136,9.500184205535334e-06,0.5298172831535339,0.3155258738215707,25600.613163814065,0.8422167093517954
phase_difference_variance,1.342472791671753,2.240884780883789,1.3540736436843872,0.793713390827179,0.8984119892120361,0.6692217481920366,0.8094957485467861
instantaneous_frequency_variance,1.342472791671753,2.240884780883789,1.3540736436843872,0.793713390827179,0.8984119892120361,0.6692217481920366,0.8094957485467861
amplitude_peak_to_average_ratio,3.936821937561035,5.160287380218506,1.8215162754058838,1.1742753982543945,1.2234654426574707,0.3107748995893537,0.7983689258146598
autocorr_lag_4_imag,0.07264942675828934,0.0008752093999646604,0.12267164885997772,0.11844836175441742,-0.07177421735832468,-0.9879529622328678,-0.5952488926276481
autocorr_lag_2_imag,0.04509126767516136,0.0005524201551452279,0.07894227653741837,0.07396034896373749,-0.044538847520016134,-0.9877488220807251,-0.5822689330507546
c40_real,-0.022057196125388145,-0.27245479822158813,0.5073546171188354,0.5431278944015503,-0.2503976020962,-11.352194962613305,-0.47645255193238384
amplitude_kurtosis,0.008039020001888275,-0.38839563727378845,0.8855106830596924,0.8585118055343628,-0.3964346572756767,-49.31379793417118,-0.4545665713521741
autocorr_lag_1_imag,0.02339961938560009,0.0006292011821642518,0.05262278765439987,0.05112683027982712,-0.022770418203435838,-0.9731105816335612,-0.4389038059582829
autocorr_lag_8_imag,0.050344426184892654,0.000609011622145772,0.13633517920970917,0.14756353199481964,-0.04973541456274688,-0.9879030777347185,-0.3501006422239539
phase_hist_bin_4,0.1138250008225441,0.133200004696846,0.06761255115270615,0.0460478700697422,0.01937500387430191,0.17021747036304033,0.33495252373832374
instantaneous_frequency_mean,0.04062663018703461,0.0010451964335516095,0.11842270940542221,0.1313122659921646,-0.039581433753483,-0.9742730961683781,-0.3165661362963697
phase_difference_mean,0.04062663018703461,0.0010451964335516095,0.11842270940542221,0.1313122659921646,-0.039581433753483,-0.9742730961683781,-0.3165661362963697
phase_variance,3.1422324180603027,3.2907464504241943,0.5714932680130005,0.5221342444419861,0.1485140323638916,0.04726385975239391,0.27132272814242037
autocorr_lag_1_magnitude,0.6132389903068542,0.5094018578529358,0.39609453082084656,0.3754608631134033,-0.10383713245391846,-0.16932571791078455,-0.2690669302693766
phase_hist_bin_0,0.11808124929666519,0.1333281248807907,0.06610894948244095,0.04631280153989792,0.015246875584125519,0.12912190162129505,0.267134314189871
autocorr_lag_1_real,0.5952358245849609,0.4902079999446869,0.4187248647212982,0.3969166576862335,-0.10502782464027405,-0.17644741819271245,-0.2574422703299155
autocorr_lag_2_magnitude,0.5631340146064758,0.4750182032585144,0.36888083815574646,0.34894660115242004,-0.08811581134796143,-0.1564739634011697,-0.24541233471857135
phase_hist_bin_2,0.13308750092983246,0.11703749746084213,0.08369471877813339,0.042916469275951385,-0.016050003468990326,-0.12059737568334815,-0.24132438468745698
phase_hist_bin_6,0.13248437643051147,0.11737500131130219,0.08139029145240784,0.04389277845621109,-0.01510937511920929,-0.11404646655138045,-0.23107564313624504
autocorr_lag_4_magnitude,0.41106483340263367,0.35230880975723267,0.26250991225242615,0.25688037276268005,-0.058756023645401,-0.14293614711846184,-0.2262367015167611
autocorr_lag_2_real,0.5377454161643982,0.45256543159484863,0.3946615755558014,0.3702973425388336,-0.08517998456954956,-0.15840206508632793,-0.22259185401292875
c40_imag,-0.07914186269044876,0.0023438469506800175,0.4663407504558563,0.33582088351249695,0.08148570964112878,1.029615753804429,0.20052820007141375
autocorr_lag_4_real,0.3701525628566742,0.3180796504020691,0.2838071882724762,0.27368515729904175,-0.0520729124546051,-0.14067959414369507,-0.18678043491590374
phase_hist_bin_5,0.1253187507390976,0.11757812649011612,0.07053019106388092,0.04385499283671379,-0.007740624248981476,-0.06176748604308445,-0.13180645425231205
autocorr_lag_16_magnitude,0.1658952832221985,0.18288291990756989,0.11495369672775269,0.14244972169399261,0.0169876366853714,0.10239975635846482,0.13124563862245026
autocorr_lag_8_magnitude,0.17163865268230438,0.18492263555526733,0.11902029812335968,0.14433634281158447,0.013283982872962952,0.0773950540159271,0.10041917634978893
autocorr_lag_16_imag,-0.01130578201264143,-0.0004431969136931002,0.13293516635894775,0.1455993503332138,0.01086258509894833,0.9607990076231303,0.07791762831786068
phase_hist_bin_3,0.12696562707424164,0.1314687430858612,0.07270491123199463,0.045623939484357834,0.004503116011619568,0.035467205415519426,0.07419363345944659
phase_hist_bin_1,0.12161249667406082,0.1184031218290329,0.06915823370218277,0.04401550814509392,-0.0032093748450279236,-0.026390172937895865,-0.05536604322193321
phase_hist_bin_7,0.12862500548362732,0.13160938024520874,0.07208084315061569,0.045467328280210495,0.002984374761581421,0.023202134974907092,0.049523638278013926
c40_magnitude,0.549597978591919,0.5571110844612122,0.4237622618675232,0.4142799973487854,0.007513105869293213,0.0136701846591062,0.01792898838927675
autocorr_lag_16_real,7.254628872033209e-05,0.0018235069001093507,0.1514464169740677,0.18037569522857666,0.0017509606113890186,24.13543830892049,0.010513728902937777
autocorr_lag_8_real,-0.00022780981089454144,-0.0007831098628230393,0.1500125527381897,0.1823551058769226,-0.0005553000519284979,-2.4375491652393895,-0.003325771623482375
