statistic,real_mean,synthetic_mean,absolute_difference,relative_difference
I_mean,-6.793046250222687e-05,0.00045993996785837225,0.0005278704303605991,7.770632501004889
Q_mean,7.881361023464705e-06,0.0002762331813573837,0.000268351820333919,34.04459901482215
I_std,0.005791471080621704,0.5961502358913422,0.5903587648107205,101.93587340014363
Q_std,0.0059363994582090525,0.5733497917570174,0.5674133922988084,95.58206126646496
I_rms,0.005902606030879542,0.6019225493252277,0.5960199432943482,100.97571127067486
Q_rms,0.006061579543934203,0.5781459261931479,0.5720843466492137,94.37874206285949
complex_rms,0.008553758441656827,0.8400482916831971,0.8314945332415402,97.20808013283143
signal_power,7.3359090462327e-05,1.4531089640870691,1.4530356049966069,19806.894945730633
peak_amplitude,0.01669442447759211,1.9237976778745651,1.907103253396973,114.23593198560556
amplitude_variance,1.2323933987318015e-05,0.3155382074203342,0.3155258834863469,25600.61447882914
amplitude_kurtosis,0.008039014053344727,-0.38839563784599307,-0.3964346518993378,-49.313833755591304
peak_to_average_ratio,3.9367691572379044,5.160287651849302,1.2235184946113975,0.3107925421664916
