class_name,original_f1,calibrated_f1,refined_f1,delta_f1
BPSK,0.0005541701302299807,0.0022026431718061676,0.0016478989288656962,0.0010937287986357157
QPSK,0.408465223455218,0.5537158259530227,0.5412085238882942,0.1327433004330762
8PSK,0.0,0.0,0.0,0.0
QAM16,0.18515510800714632,0.3628803628803629,0.36744873452798815,0.18229362652084183
QAM64,0.02796096016882089,0.07583608101742817,0.06853879105188006,0.04057783088305916
