metric,original,calibrated,refined,delta
Accuracy,0.22177777777777777,0.2756111111111111,0.27316666666666667,0.0513888888888889
Macro Precision,0.1746,0.2146,0.2008267655189057,0.02622676551890568
Macro Recall,0.22177777777777777,0.2756111111111111,0.27316666666666667,0.0513888888888889
Macro F1,0.12442709235228304,0.198926982604524,0.19576878967940564,0.0713416973271226
Weighted F1,0.12442709235228304,0.198926982604524,0.1957687896794056,0.07134169732712257
