feature,real_mean,real_std,original_mean,original_std,original_effect_size,calibrated_mean,calibrated_std,calibrated_effect_size,refined_mean,refined_std,refined_effect_size,net_mismatch_reduction
phase_difference_kurtosis,5.776984214782715,8.62503433227539,-0.18261577188968658,0.9635050296783447,-0.9711319074269334,-0.18261577188968658,0.9635050296783447,-0.9711319074269334,-0.18349941074848175,0.9558708667755127,-0.9713703894495548,-0.00023848202262133356
amplitude_mean,0.0078125,4.3314007935890686e-10,0.7321259379386902,0.7756045460700989,1.3206909251169614,0.02468733675777912,0.0261534396559,0.9124850126492221,0.024706566706299782,0.02616140991449356,0.9132465354981912,0.40744438961877016
amplitude_variance,1.2323934242886025e-05,9.500184205535334e-06,0.3155381977558136,0.5298172831535339,0.8422167093517954,0.0003587805258575827,0.0006024250760674477,0.8132157293330278,0.00035900186048820615,0.0006010110373608768,0.8156493011199347,0.026567408231860656
phase_difference_variance,1.342472791671753,1.3540736436843872,2.240884780883789,0.793713390827179,0.8094957485467861,2.240884780883789,0.793713390827179,0.8094957485467861,2.239975690841675,0.7895406484603882,0.8097631565644503,-0.00026740801766422795
instantaneous_frequency_variance,1.342472791671753,1.3540736436843872,2.240884780883789,0.793713390827179,0.8094957485467861,2.240884780883789,0.793713390827179,0.8094957485467861,2.239975690841675,0.7895406484603882,0.8097631565644503,-0.00026740801766422795
amplitude_peak_to_average_ratio,3.936821937561035,1.8215162754058838,5.160287380218506,1.1742753982543945,0.7983689258146598,5.160287380218506,1.1742753982543945,0.7983689258146598,5.161126136779785,1.17764151096344,0.798243792999235,0.00012513281542481103
autocorr_lag_2_imag,0.04509126767516136,0.07894227653741837,0.0005524201551452279,0.07396034896373749,-0.5822689330507546,0.0005524202133528888,0.07396034896373749,-0.5822689322897894,-0.00025776514667086303,0.07293952256441116,-0.5966963209234645,-0.014427387872709918
autocorr_lag_4_imag,0.07264942675828934,0.12267164885997772,0.0008752093999646604,0.11844836175441742,-0.5952488926276481,0.0008752092253416777,0.11844836175441742,-0.5952488940758581,0.0007390497485175729,0.11943413317203522,-0.593987861065736,0.0012610315619121515
autocorr_lag_1_imag,0.02339961938560009,0.05262278765439987,0.0006292011821642518,0.05112683027982712,-0.4389038059582829,0.0006292013567872345,0.05112683027982712,-0.43890380259239425,0.0002453814377076924,0.05135390907526016,-0.4453404329806859,-0.0064366270224029964
amplitude_kurtosis,0.008039020001888275,0.8855106830596924,-0.38839563727378845,0.8585118055343628,-0.4545665713521741,-0.38839563727378845,0.8585118055343628,-0.4545665713521741,-0.3809855878353119,0.8723351359367371,-0.4426027312523889,0.011963840099785183
c40_real,-0.022057196125388145,0.5073546171188354,-0.27245479822158813,0.5431278944015503,-0.47645255193238384,-0.27245479822158813,0.5431278944015503,-0.47645255193238384,-0.24480165541172028,0.5064647197723389,-0.4394163041325595,0.03703624779982434
autocorr_lag_8_imag,0.050344426184892654,0.13633517920970917,0.000609011622145772,0.14756353199481964,-0.3501006422239539,0.000609011622145772,0.14756353199481964,-0.3501006422239539,0.0003162847424391657,0.14750990271568298,-0.3522302786785546,-0.0021296364546007363
